id,sentence,shown_images,target
RAaVHd,"The athlete prepares to throw, then moves into position, and finally, the results are displayed, showing Danny Keller in third place with a distance of 14.55m.","['RAaVHd_hyt.jpg', 'RAaVHd_kwj.jpg', 'RAaVHd_pjg.jpg', 'RAaVHd_sjp.jpg']","[1, 4, 3, 2]"
TcC2Oj, She begins putting decorations on the Christmas tree.,"['TcC2Oj_aua.jpg', 'TcC2Oj_nxf.jpg', 'TcC2Oj_frq.jpg', 'TcC2Oj_een.jpg']","[1, 4, 2, 3]"
8u2HPI,"The man stands by the stairs, then moves down to work on the carpet, using tools to secure it, and finally adjusts the edges for a neat finish.","['8u2HPI_edl.jpg', '8u2HPI_hqd.jpg', '8u2HPI_klv.jpg', '8u2HPI_pmm.jpg']","[3, 2, 1, 4]"
TOeLtz,"The skier falls forward into the snow with skis splayed, then the scene shifts to a distant view of the snowy landscape, zooming in as the skier carves sharply to the left down the mountain.","['TOeLtz_dpk.jpg', 'TOeLtz_jrc.jpg', 'TOeLtz_mub.jpg', 'TOeLtz_uwd.jpg']","[3, 2, 4, 1]"
uMQNax,"After,the man that is in the harness grabs on to the shoulders of two men as they help him stand up on top of the bridge.","['uMQNax_zpr.jpg', 'uMQNax_hxd.jpg', 'uMQNax_zxh.jpg', 'uMQNax_vdk.jpg']","[3, 1, 4, 2]"
sXR586,"The player steps back from the pool table as the cue ball moves slightly right, transitioning to another man preparing to shoot pool, before the scene fades to a dark screen with text.","['sXR586_blz.jpg', 'sXR586_cmk.jpg', 'sXR586_kpc.jpg', 'sXR586_slb.jpg']","[4, 2, 1, 3]"
AbAkDD," Then, she washes a dish with the brush, then she explains showing the brush.","['AbAkDD_vus.jpg', 'AbAkDD_qyp.jpg', 'AbAkDD_pnj.jpg', 'AbAkDD_mgg.jpg']","[3, 1, 2, 4]"
Xl3cs0,"The lid lowers onto the sandwich, then lifts slightly as a hand enters, while a round object rises from the pot and moves above the bowl, with a slight camera tilt upward.","['Xl3cs0_wqh.jpg', 'Xl3cs0_xuc.jpg', 'Xl3cs0_zyt.jpg', 'Xl3cs0_uxp.jpg']","[2, 4, 3, 1]"
zeuIyY, She removes some shoes from the closet.,"['zeuIyY_jvz.jpg', 'zeuIyY_lpo.jpg', 'zeuIyY_zrq.jpg', 'zeuIyY_ztr.jpg']","[1, 4, 3, 2]"
hVreGh," The boy speeds off onto a ramp and jumps off it, landing on the cement.","['hVreGh_mbe.jpg', 'hVreGh_nni.jpg', 'hVreGh_eru.jpg', 'hVreGh_dzf.jpg']","[4, 2, 3, 1]"
r663nQ,We see a man preparing and throwing shotput.,"['r663nQ_etj.jpg', 'r663nQ_isu.jpg', 'r663nQ_omc.jpg', 'r663nQ_ycn.jpg']","[2, 3, 4, 1]"
WRBa04,woman put an egg on a bowl and mix it with vanilla.,"['WRBa04_now.jpg', 'WRBa04_ojp.jpg', 'WRBa04_eak.jpg', 'WRBa04_vns.jpg']","[2, 1, 3, 4]"
3QU4SE,"The person begins by bending down to their leg, then raises it onto the tub while continuing to adjust their position, and finally stands with one leg on the tub.","['3QU4SE_pob.jpg', '3QU4SE_pay.jpg', '3QU4SE_tel.jpg', '3QU4SE_teb.jpg']","[3, 4, 1, 2]"
Sr8zxa,"The hands begin to twist the hair, then continue to braid it closely to the scalp, gradually forming a neat braid as they move along the section of hair.","['Sr8zxa_jiz.jpg', 'Sr8zxa_pcg.jpg', 'Sr8zxa_uyy.jpg', 'Sr8zxa_tur.jpg']","[1, 3, 4, 2]"
jKdmye, He flips something that is in a pan.,"['jKdmye_lam.jpg', 'jKdmye_zds.jpg', 'jKdmye_she.jpg', 'jKdmye_nlm.jpg']","[1, 4, 2, 3]"
fV8ld8, Some graphic cars crash into each other.,"['fV8ld8_kxg.jpg', 'fV8ld8_jwo.jpg', 'fV8ld8_mlr.jpg', 'fV8ld8_oxe.jpg']","[1, 4, 3, 2]"
tIpwXN,"The bartender lowers a jigger to the counter and reaches for lemon slices beside the blender, then another bartender moves a bottle closer to an empty glass on the left as he prepares the drinks.","['tIpwXN_pzj.jpg', 'tIpwXN_wet.jpg', 'tIpwXN_aos.jpg', 'tIpwXN_tmv.jpg']","[3, 4, 1, 2]"
AU3hmv,"The cleaning machine moves forward across the tiles, revealing a cleaner surface as the camera tilts down, then a yellow sponge is replaced by a blue cloth moving right to clean the sink more thoroughly.","['AU3hmv_ljm.jpg', 'AU3hmv_mxl.jpg', 'AU3hmv_myx.jpg', 'AU3hmv_xny.jpg']","[2, 3, 1, 4]"
SaxOdL,little kid is holding a red tennis racket close to her face but then put it on the floor and jump on top.,"['SaxOdL_uwv.jpg', 'SaxOdL_nul.jpg', 'SaxOdL_rue.jpg', 'SaxOdL_qwc.jpg']","[1, 3, 4, 2]"
m2m8Nx,"The athlete runs towards the sand pit, landing and kneeling, as the camera pans right to reveal a pole vaulter on the mat, then shifts focus to a photographer standing near the performance board.","['m2m8Nx_iph.jpg', 'm2m8Nx_ovy.jpg', 'm2m8Nx_vuf.jpg', 'm2m8Nx_for.jpg']","[3, 2, 4, 1]"
yoEQRX,Two men sit across a table and begin an arm wrestling match.,"['yoEQRX_lig.jpg', 'yoEQRX_wyy.jpg', 'yoEQRX_qoc.jpg', 'yoEQRX_qkr.jpg']","[2, 1, 4, 3]"
Bemo6u,"The artist begins to paint an apple, then mixes colors on a palette, moves to create abstract flowers on a canvas, and continues adding details to the flowers.","['Bemo6u_ijt.jpg', 'Bemo6u_jyw.jpg', 'Bemo6u_sbs.jpg', 'Bemo6u_tpx.jpg']","[3, 1, 4, 2]"
b6P7rk,"After the crowd is shown,the game of soccer continues and as the team makes a goal,the whole left wall of fans go crazy and begin jumping up and down in an uproar.","['b6P7rk_fqs.jpg', 'b6P7rk_yog.jpg', 'b6P7rk_zyz.jpg', 'b6P7rk_svd.jpg']","[3, 2, 4, 1]"
Tm5xcf,"The hand lowers twigs onto a small fire, which brightens, then exits as the camera tilts up to reveal a person standing and observing the scene.","['Tm5xcf_pvl.jpg', 'Tm5xcf_bqq.jpg', 'Tm5xcf_fuu.jpg', 'Tm5xcf_uij.jpg']","[1, 3, 4, 2]"
SID5cH,Two men are rappeling up the side of a steep rock cliff.,"['SID5cH_xxb.jpg', 'SID5cH_vxk.jpg', 'SID5cH_wla.jpg', 'SID5cH_ldy.jpg']","[1, 4, 2, 3]"
mmT0Nf, The dancer bows at the end of the performance.,"['mmT0Nf_exg.jpg', 'mmT0Nf_vgw.jpg', 'mmT0Nf_yiv.jpg', 'mmT0Nf_zoq.jpg']","[4, 3, 2, 1]"
pVWGtE,"The girl moves from close-up to mid-shot, hand approaching her eye, as the camera zooms out; then, a purple item shifts from her hand, partially out of view, as the camera tilts left.","['pVWGtE_emc.jpg', 'pVWGtE_epp.jpg', 'pVWGtE_lzq.jpg', 'pVWGtE_wjz.jpg']","[4, 2, 1, 3]"
9LH77q,A camera pans around a large gymnasium and leads into two performers walking to the middle of the stage.,"['9LH77q_cfi.jpg', '9LH77q_idf.jpg', '9LH77q_qom.jpg', '9LH77q_zfz.jpg']","[3, 2, 4, 1]"
HuTupp," Then, the man runs and launch the javelin.","['HuTupp_gjh.jpg', 'HuTupp_pxb.jpg', 'HuTupp_qfg.jpg', 'HuTupp_tsw.jpg']","[4, 3, 2, 1]"
isUgg8, They put on a blue apron and gloves.,"['isUgg8_ile.jpg', 'isUgg8_hsz.jpg', 'isUgg8_ool.jpg', 'isUgg8_hxx.jpg']","[2, 1, 3, 4]"
c2JPvG," Olive oil goes into the pan with the garlic, red pepper, parsley, white wine, basil, salt, and clam juice to simmer, and the clams are added to the mixture at the end.","['c2JPvG_myb.jpg', 'c2JPvG_pqz.jpg', 'c2JPvG_oeg.jpg', 'c2JPvG_wng.jpg']","[1, 3, 2, 4]"
QTOYrT,"The tire moves upward and slightly left, positioning below the mounting head, while the person transitions from kneeling to sitting, facing away from the camera as the yellow bucket shifts slightly left.","['QTOYrT_aaq.jpg', 'QTOYrT_hff.jpg', 'QTOYrT_zht.jpg', 'QTOYrT_dci.jpg']","[1, 4, 2, 3]"
Ff26B5, She jumps off the bar and lands on a blue mat.,"['Ff26B5_gta.jpg', 'Ff26B5_xod.jpg', 'Ff26B5_ahy.jpg', 'Ff26B5_nco.jpg']","[3, 4, 2, 1]"
dYww9t,"The cat's paw emerges from a pink towel for inspection as the view zooms out, then a brush and dryer retreat, allowing clippers to approach the dog's ear from behind.","['dYww9t_mwv.jpg', 'dYww9t_biu.jpg', 'dYww9t_kad.jpg', 'dYww9t_rxj.jpg']","[1, 3, 4, 2]"
G5jhKz,A man throws a ball onto the sidewalk.,"['G5jhKz_qxw.jpg', 'G5jhKz_dik.jpg', 'G5jhKz_umq.jpg', 'G5jhKz_gwv.jpg']","[2, 4, 1, 3]"
wpQI4Y," She dismounts proudly, lifting her arms into the air.","['wpQI4Y_pzy.jpg', 'wpQI4Y_ybx.jpg', 'wpQI4Y_mnb.jpg', 'wpQI4Y_dyp.jpg']","[4, 1, 3, 2]"
7HrOoa,"The cake is lifted to reveal a completed Pikachu design, then the Rubik's Cube rotates slightly right in the competitor's hands as the timer changes from 19.59 to 0.00.","['7HrOoa_oem.jpg', '7HrOoa_ezk.jpg', '7HrOoa_zcn.jpg', '7HrOoa_ygd.jpg']","[4, 2, 1, 3]"
OBngSN,A person is seen kneeling down next to a hole of ice and reeling in a fish.,"['OBngSN_elt.jpg', 'OBngSN_emc.jpg', 'OBngSN_uwr.jpg', 'OBngSN_vjk.jpg']","[4, 3, 1, 2]"
y4HhDM,"A boy dressed in biking gear is putting on a helmet while standing and text on the right side of the screen appear and say ""@BryceBetts13Z CHASE STAYSTRONG"" as the boy gets on his bike and pushes it out of screen.","['y4HhDM_anh.jpg', 'y4HhDM_hcc.jpg', 'y4HhDM_nsj.jpg', 'y4HhDM_ybt.jpg']","[1, 3, 4, 2]"
xzviXz,"A competitor exits as the camera tilts up to fluttering flags; then, a skier emerges from the distant slope, carving sharply as the camera zooms in.","['xzviXz_tmh.jpg', 'xzviXz_wch.jpg', 'xzviXz_hej.jpg', 'xzviXz_muj.jpg']","[3, 4, 1, 2]"
VeIkBG,"The painted chair is centered against a plain background, then the camera zooms out from the bike seat to reveal a cyclist actively pedaling.","['VeIkBG_btp.jpg', 'VeIkBG_sge.jpg', 'VeIkBG_jyx.jpg', 'VeIkBG_wbl.jpg']","[4, 1, 3, 2]"
WtGwAI, The woman continues moving along the beam and ends by jumping off the side and walking off the stage.,"['WtGwAI_ied.jpg', 'WtGwAI_mnr.jpg', 'WtGwAI_win.jpg', 'WtGwAI_grx.jpg']","[3, 2, 4, 1]"
lCkh99,"A brush on a wall transitions to a person and child spraying a red car as the camera pans right, then a boy hops forward on a sidewalk hopscotch while a girl exits left.","['lCkh99_tfz.jpg', 'lCkh99_kiy.jpg', 'lCkh99_qhm.jpg', 'lCkh99_eqb.jpg']","[4, 2, 3, 1]"
yEtgcV, the woman takes a large brush and starts to remove snow from the vehicle.,"['yEtgcV_zry.jpg', 'yEtgcV_zmu.jpg', 'yEtgcV_pel.jpg', 'yEtgcV_iuu.jpg']","[3, 4, 1, 2]"
wLM6K5,"The lawn mower advances leftward towards the tarp, clearing leaves, followed by a person using a leaf blower, as the camera zooms in from a wide yard view to a close-up of the leaves.","['wLM6K5_icd.jpg', 'wLM6K5_iun.jpg', 'wLM6K5_kxb.jpg', 'wLM6K5_thg.jpg']","[1, 2, 3, 4]"
nxJ94A,  The camel gets down and kneels.,"['nxJ94A_jwk.jpg', 'nxJ94A_gme.jpg', 'nxJ94A_jfv.jpg', 'nxJ94A_mhp.jpg']","[4, 1, 2, 3]"
5UzWFe,A person then picks it up and begins to bend it showing how the object works.,"['5UzWFe_rmi.jpg', '5UzWFe_ttb.jpg', '5UzWFe_woc.jpg', '5UzWFe_isd.jpg']","[1, 2, 3, 4]"
ELShUN," After, the men ski down the hill in middle of the trees.","['ELShUN_fph.jpg', 'ELShUN_irx.jpg', 'ELShUN_lmx.jpg', 'ELShUN_uis.jpg']","[1, 2, 3, 4]"
hkFLEy, A group of rafter push off from a rock and turn there boat around to face the current.,"['hkFLEy_ksl.jpg', 'hkFLEy_qpu.jpg', 'hkFLEy_swq.jpg', 'hkFLEy_wus.jpg']","[2, 4, 1, 3]"
DmoZl4,A gymnast stands ready at the end then flips up onto a beam.,"['DmoZl4_rhj.jpg', 'DmoZl4_clg.jpg', 'DmoZl4_hhi.jpg', 'DmoZl4_hyk.jpg']","[4, 1, 2, 3]"
XKAhmA,  He then slides on the grips onto the handles of the bike.,"['XKAhmA_cng.jpg', 'XKAhmA_ktp.jpg', 'XKAhmA_qwj.jpg', 'XKAhmA_zsg.jpg']","[3, 2, 4, 1]"
IKK8AE, The hand returns with an ink dropper and creates pictures with ink.,"['IKK8AE_bfk.jpg', 'IKK8AE_ffi.jpg', 'IKK8AE_poy.jpg', 'IKK8AE_goh.jpg']","[4, 3, 2, 1]"
ed8y9x,woman is kneeling down in the floor talking to the camera holding a bend slide and opens it  in the living room.,"['ed8y9x_tdj.jpg', 'ed8y9x_gsy.jpg', 'ed8y9x_hfb.jpg', 'ed8y9x_tkp.jpg']","[2, 4, 1, 3]"
7qk1QQ,"The camera shifts from a pot to reveal someone cutting green onions, then transitions to a person replacing a paintbrush with an orange cloth, moving it left across the surface as their hands change position.","['7qk1QQ_ycf.jpg', '7qk1QQ_zse.jpg', '7qk1QQ_qgu.jpg', '7qk1QQ_xdq.jpg']","[1, 2, 3, 4]"
IRGAvr," Then, she jumps high with the pole to pass over an horizontal bar.","['IRGAvr_zio.jpg', 'IRGAvr_lyq.jpg', 'IRGAvr_kiz.jpg', 'IRGAvr_jde.jpg']","[2, 1, 3, 4]"
DTEnkY,"The girl moves back as she raises her hand toward her face, then another person holds a hairdryer from the left to style their hair while adjusting it with the other hand.","['DTEnkY_mib.jpg', 'DTEnkY_bvt.jpg', 'DTEnkY_tcm.jpg', 'DTEnkY_hsx.jpg']","[4, 2, 1, 3]"
ifFSxi,"The athlete stands by the high jump bar, arms crossed, then the scene zooms to a basketball player holding a drink, before shifting to a climber ascending a rock face and reaching a ledge overlooking the landscape.","['ifFSxi_sbp.jpg', 'ifFSxi_ukl.jpg', 'ifFSxi_gxn.jpg', 'ifFSxi_qjq.jpg']","[3, 1, 4, 2]"
hPbbe0, The players kicked the ball to the next person on the opposite side of the court.,"['hPbbe0_hhy.jpg', 'hPbbe0_dxb.jpg', 'hPbbe0_ske.jpg', 'hPbbe0_cvx.jpg']","[4, 1, 3, 2]"
26xxyj,"The person wraps the present with both hands, moving it slightly right, then adjusts the wrapping paper downward, tightening it around the gift.","['26xxyj_vzo.jpg', '26xxyj_qxo.jpg', '26xxyj_ujy.jpg', '26xxyj_xon.jpg']","[2, 1, 3, 4]"
V2DAyQ, The white team high five each other.,"['V2DAyQ_ntp.jpg', 'V2DAyQ_lep.jpg', 'V2DAyQ_sny.jpg', 'V2DAyQ_ohr.jpg']","[1, 3, 4, 2]"
pgsHR9,"The camera zooms in on the enthusiastic crowd waving flags, then shifts to the player in blue exiting the frame as the opposing team in red and the goalkeeper in green move towards the goal.","['pgsHR9_guo.jpg', 'pgsHR9_hzt.jpg', 'pgsHR9_vlg.jpg', 'pgsHR9_yac.jpg']","[4, 3, 2, 1]"
c6zYij,"A hairdryer shrinks the wrap around a gift basket as the camera zooms in, then transitions to hands tying a pink ribbon on a box, zooming out to reveal a person smiling with the completed gift among decorated boxes.","['c6zYij_cmy.jpg', 'c6zYij_ogh.jpg', 'c6zYij_qet.jpg', 'c6zYij_vww.jpg']","[3, 2, 4, 1]"
zcMYh8, She dismounts and lands on the mat next to the beam.,"['zcMYh8_ilk.jpg', 'zcMYh8_lyg.jpg', 'zcMYh8_rpd.jpg', 'zcMYh8_ebp.jpg']","[2, 1, 4, 3]"
DQJ6ZQ,"A diver flips off a platform as night falls with pool lights illuminating, then sunlight filters through trees transitioning to a skater smoothly gliding down a sunlit road.","['DQJ6ZQ_ngu.jpg', 'DQJ6ZQ_fps.jpg', 'DQJ6ZQ_hag.jpg', 'DQJ6ZQ_npu.jpg']","[2, 4, 1, 3]"
quCCTv,"The person lifts the fish upward triumphantly against the snowy backdrop, then a group moves along a snowy path before the credit screen appears abruptly.","['quCCTv_fen.jpg', 'quCCTv_jhi.jpg', 'quCCTv_peg.jpg', 'quCCTv_ywa.jpg']","[4, 2, 1, 3]"
1DlVAf,"The person presses their hands against their cheeks after applying face wash, then the girl shifts her hand from her eye to her mouth as her head turns slightly left.","['1DlVAf_axi.jpg', '1DlVAf_ufo.jpg', '1DlVAf_qjc.jpg', '1DlVAf_lhw.jpg']","[1, 3, 2, 4]"
IwlvH1,A man riding a horse and swinging a rope around is seen chasing after a calf and eventually grabbing the animal with his rope.,"['IwlvH1_cgv.jpg', 'IwlvH1_eyd.jpg', 'IwlvH1_mba.jpg', 'IwlvH1_mue.jpg']","[1, 3, 2, 4]"
t3hR60, The man then throws the fish back into the hole.,"['t3hR60_iao.jpg', 't3hR60_wnu.jpg', 't3hR60_iiy.jpg', 't3hR60_zqw.jpg']","[4, 1, 2, 3]"
f1STVx, The person then puts one shoe on then the other.,"['f1STVx_rke.jpg', 'f1STVx_rky.jpg', 'f1STVx_tpi.jpg', 'f1STVx_wve.jpg']","[1, 2, 3, 4]"
sByda5,The person holding the camera starts his journey and he is off down the slopes of snow.,"['sByda5_cdf.jpg', 'sByda5_eyu.jpg', 'sByda5_lgi.jpg', 'sByda5_etm.jpg']","[2, 3, 4, 1]"
kPhH8J, A man puts a lock around the tire of his bike.,"['kPhH8J_hjq.jpg', 'kPhH8J_hjt.jpg', 'kPhH8J_hgv.jpg', 'kPhH8J_zec.jpg']","[1, 2, 4, 3]"
cLGWxs,A man puts a wood upright on a tree stump.,"['cLGWxs_vfb.jpg', 'cLGWxs_jxo.jpg', 'cLGWxs_sqe.jpg', 'cLGWxs_fcw.jpg']","[4, 2, 3, 1]"
2VMK0P,"The gymnast begins to swing on the bars, then transitions into a release move, followed by a re-grasp, and finally lands gracefully on the mat.","['2VMK0P_hdw.jpg', '2VMK0P_tff.jpg', '2VMK0P_wqn.jpg', '2VMK0P_wyr.jpg']","[2, 4, 1, 3]"
8vmyEF,"The windsurfer begins to sail smoothly across the water, then struggles to maintain balance before capsizing as the sail tips into the water.","['8vmyEF_kzp.jpg', '8vmyEF_arc.jpg', '8vmyEF_sgi.jpg', '8vmyEF_jzs.jpg']","[3, 4, 1, 2]"
iw7lJa, The woman points to a pot and then begins peeling the potatoes and putting them into a pot.,"['iw7lJa_djp.jpg', 'iw7lJa_hfy.jpg', 'iw7lJa_inv.jpg', 'iw7lJa_kwo.jpg']","[3, 4, 1, 2]"
OmghnX, The dog runs for the ball.,"['OmghnX_axz.jpg', 'OmghnX_czn.jpg', 'OmghnX_oqc.jpg', 'OmghnX_udm.jpg']","[1, 4, 3, 2]"
95WhPZ,"The green paint spreads leftward on the dresser as the brush moves upward, then the camera zooms in on the table while the paintbrush applies green paint upward on the leg.","['95WhPZ_aoz.jpg', '95WhPZ_exh.jpg', '95WhPZ_pfo.jpg', '95WhPZ_vet.jpg']","[1, 2, 3, 4]"
vFftr1,Two men are shown playing soccer in a gym followed by a pan out showing more players.,"['vFftr1_dtw.jpg', 'vFftr1_uat.jpg', 'vFftr1_umr.jpg', 'vFftr1_xjc.jpg']","[1, 2, 3, 4]"
O6FaPa,"The man lowers the axe and gives a thumbs-up to seated friends as the camera zooms out, then the person in a red shirt exits the slackline while a woman in a blue top enters, raising her arms for balance.","['O6FaPa_uxy.jpg', 'O6FaPa_dzp.jpg', 'O6FaPa_qku.jpg', 'O6FaPa_pme.jpg']","[4, 1, 3, 2]"
fYCiVN, The camera pans over background scenery.,"['fYCiVN_mcu.jpg', 'fYCiVN_lwu.jpg', 'fYCiVN_jbd.jpg', 'fYCiVN_lsi.jpg']","[4, 1, 3, 2]"
EuQ6No,"A chef peels a potato, transitioning to a beige text display, followed by a vacuum cleaner entering from the right, moving left around a coffee table as the camera zooms out.","['EuQ6No_upb.jpg', 'EuQ6No_ctx.jpg', 'EuQ6No_cgs.jpg', 'EuQ6No_xsy.jpg']","[4, 2, 1, 3]"
2ktTSK,"The person clears snow from the car's hood, moving right as the camera slightly zooms in, then shifts to clear the windshield, revealing the glass beneath as they move left.","['2ktTSK_hgs.jpg', '2ktTSK_asj.jpg', '2ktTSK_tcu.jpg', '2ktTSK_kjg.jpg']","[4, 2, 1, 3]"
WPLzrR,"The group navigates the rocky terrain while a climber secures his rope and smiles; then, a climber ascends the rock, moving slightly right, as the camera shifts to reveal more surrounding foliage.","['WPLzrR_huz.jpg', 'WPLzrR_igr.jpg', 'WPLzrR_tsq.jpg', 'WPLzrR_vzk.jpg']","[1, 4, 3, 2]"
86JgA5,"The axe lowers to chop wood, revealing scattered pieces as the camera pans up from kindling being added to a fire, showing a person standing and observing the scene.","['86JgA5_upn.jpg', '86JgA5_dvp.jpg', '86JgA5_gtm.jpg', '86JgA5_dcg.jpg']","[1, 2, 4, 3]"
r8hYpc, He is climbing the mountain with a pair of skis.,"['r8hYpc_awj.jpg', 'r8hYpc_jzu.jpg', 'r8hYpc_uyp.jpg', 'r8hYpc_ymh.jpg']","[2, 4, 1, 3]"
d8UAKj, He runs through a long two lane tunnel.,"['d8UAKj_gqh.jpg', 'd8UAKj_ayz.jpg', 'd8UAKj_imq.jpg', 'd8UAKj_hze.jpg']","[1, 3, 4, 2]"
Po2g11, The man then puts plaster on a base and applies it to the ceiling while on stilts.,"['Po2g11_sme.jpg', 'Po2g11_scc.jpg', 'Po2g11_ipy.jpg', 'Po2g11_ptm.jpg']","[4, 2, 3, 1]"
VgKPJi,"The kayak navigates between pier supports toward a rocky outcrop as the camera tilts upward, then the windsurfer leans forward, tilting the sail left while adjusting their grip to maintain balance on the water.","['VgKPJi_szq.jpg', 'VgKPJi_eye.jpg', 'VgKPJi_amo.jpg', 'VgKPJi_hsj.jpg']","[3, 4, 1, 2]"
AsaGLq,"The stylist begins to cut the hair in the first frame, then the client looks in the mirror in the second frame, and finally, the haircut is completed in the last frame.","['AsaGLq_bnd.jpg', 'AsaGLq_imw.jpg', 'AsaGLq_psx.jpg', 'AsaGLq_tzk.jpg']","[3, 1, 2, 4]"
vS7k1f,The mixes again and finally puts another small amount of ingredients in the bowl.,"['vS7k1f_gjy.jpg', 'vS7k1f_swj.jpg', 'vS7k1f_hgz.jpg', 'vS7k1f_irs.jpg']","[2, 4, 3, 1]"
Cw6VCV,A teen puts make up to an man on his face.,"['Cw6VCV_xmi.jpg', 'Cw6VCV_jmv.jpg', 'Cw6VCV_qzc.jpg', 'Cw6VCV_ycm.jpg']","[3, 1, 2, 4]"
8qYHPj, The corners are folded like a present and peices of tape are used to secure the folded ends of the package.,"['8qYHPj_hpf.jpg', '8qYHPj_ndp.jpg', '8qYHPj_vfj.jpg', '8qYHPj_vvw.jpg']","[1, 4, 3, 2]"
bCIztk,"Family day at the beach, father and son are walking around and then they start to play in the sand.","['bCIztk_grh.jpg', 'bCIztk_fqs.jpg', 'bCIztk_dze.jpg', 'bCIztk_vwq.jpg']","[2, 1, 3, 4]"
CqUnsL,"The guitarist begins to strum the chords, then shifts his hand position on the fretboard, followed by a close-up of his fingers moving, and finally, the frame fades to black.","['CqUnsL_jqo.jpg', 'CqUnsL_jzc.jpg', 'CqUnsL_nth.jpg', 'CqUnsL_slf.jpg']","[4, 2, 1, 3]"
BFHguq,"A surfer exits the water, walking along the beach with a green board, then another surfer rides left and down the wave as the camera slightly zooms out.","['BFHguq_hew.jpg', 'BFHguq_otq.jpg', 'BFHguq_sxj.jpg', 'BFHguq_yrf.jpg']","[2, 4, 1, 3]"
gO1NYd,"The person holding the item exits as the camera rotates 90 degrees clockwise, then a hand sections the girl's hair while the camera shifts from a frontal to a side view.","['gO1NYd_bno.jpg', 'gO1NYd_bgm.jpg', 'gO1NYd_myn.jpg', 'gO1NYd_ukf.jpg']","[4, 2, 3, 1]"
glZUS7, Many more shots of goals are shown during the game followed by the same shot shown again in slow motion.,"['glZUS7_hpb.jpg', 'glZUS7_kig.jpg', 'glZUS7_btl.jpg', 'glZUS7_fng.jpg']","[4, 2, 1, 3]"
paMFM8, The man lays plaster out on the front and begins putting tiling down over the plaster.,"['paMFM8_ctb.jpg', 'paMFM8_ghv.jpg', 'paMFM8_ugh.jpg', 'paMFM8_wpa.jpg']","[2, 3, 4, 1]"
P903C1, The man stands up on the four wheeler and hits his break lights to inspect a target.,"['P903C1_jpc.jpg', 'P903C1_nxr.jpg', 'P903C1_vxk.jpg', 'P903C1_wgz.jpg']","[3, 2, 1, 4]"
QGroEW,"The mixture begins to blend as ingredients are whisked together, then dry ingredients are added, followed by folding in chunks of chocolate and white chocolate.","['QGroEW_mii.jpg', 'QGroEW_nvh.jpg', 'QGroEW_saz.jpg', 'QGroEW_wyp.jpg']","[1, 2, 3, 4]"
AcavUb, The person throw the ball in the goal and went in.,"['AcavUb_ajx.jpg', 'AcavUb_hnm.jpg', 'AcavUb_lag.jpg', 'AcavUb_mmy.jpg']","[4, 2, 1, 3]"
DhasMq,"Two people paddle a canoe, then transition to packing sleeping bags, followed by one person fishing, and finally, they approach a rustic cabin.","['DhasMq_fsa.jpg', 'DhasMq_quw.jpg', 'DhasMq_qvk.jpg', 'DhasMq_rdr.jpg']","[1, 2, 3, 4]"
NkmrD6," The man applies the butter, then the curry to the bread before toasting it.","['NkmrD6_eza.jpg', 'NkmrD6_jhz.jpg', 'NkmrD6_jpq.jpg', 'NkmrD6_zzi.jpg']","[4, 3, 2, 1]"
boKB6Y,"The gymnast smiles and walks toward teammates for a handshake as the camera zooms out, then stands beside the pommel horse, adjusts grip on the handles, and prepares to begin the routine.","['boKB6Y_gmq.jpg', 'boKB6Y_tzd.jpg', 'boKB6Y_doe.jpg', 'boKB6Y_rqq.jpg']","[4, 2, 1, 3]"
ubFb9U, The first man throws another disc and the man in the red shirt follows.,"['ubFb9U_qnw.jpg', 'ubFb9U_sgz.jpg', 'ubFb9U_bqz.jpg', 'ubFb9U_rhk.jpg']","[3, 1, 4, 2]"
VruzF1, He then moves the piece around to show the scuffs and buffs them out with a brush.,"['VruzF1_zuq.jpg', 'VruzF1_saa.jpg', 'VruzF1_ois.jpg', 'VruzF1_max.jpg']","[1, 2, 4, 3]"
zCzcLP, She lands on a blue mat in front of her and puts her arms up.,"['zCzcLP_wud.jpg', 'zCzcLP_wsa.jpg', 'zCzcLP_fhv.jpg', 'zCzcLP_kdw.jpg']","[1, 4, 3, 2]"
VXcgvQ, The man helps the little girl go down the slide.,"['VXcgvQ_jua.jpg', 'VXcgvQ_tpv.jpg', 'VXcgvQ_tqp.jpg', 'VXcgvQ_xoc.jpg']","[3, 2, 4, 1]"
frT9Hr,"The man moves to the right, placing another tile on the wall, while the person in white climbs higher onto a stool as both individuals raise their arms toward the ceiling.","['frT9Hr_tzq.jpg', 'frT9Hr_ztb.jpg', 'frT9Hr_kqu.jpg', 'frT9Hr_iwi.jpg']","[2, 1, 4, 3]"
DGn8G8,"The worker begins by cutting a strip, then two men paint the ceiling, followed by a close-up of rolling the textured wallpaper, and finally, a website showcasing Lincrusta products appears.","['DGn8G8_iht.jpg', 'DGn8G8_qmo.jpg', 'DGn8G8_sse.jpg', 'DGn8G8_xes.jpg']","[3, 2, 4, 1]"
V2DAyQ, The white team high five each other.,"['V2DAyQ_ntp.jpg', 'V2DAyQ_lep.jpg', 'V2DAyQ_ohr.jpg', 'V2DAyQ_sny.jpg']","[1, 4, 3, 2]"
WaUVEg, the man drops the barbell and the crowd cheers.,"['WaUVEg_opr.jpg', 'WaUVEg_fny.jpg', 'WaUVEg_kux.jpg', 'WaUVEg_tpz.jpg']","[2, 3, 1, 4]"
